expanded_pair_id,comparison_case_id,evaluation_side,source_scenario_id,source_condition_id,source_turn_number,expansion_variant_id,counterfactual_id,counterfactual_group,counterfactual_description,legal_moves,legal_move_signature,observed_turn_number,observed_acting_energy,observed_opposing_energy,observed_energy_difference,predicted_action,quick_attack_probability,ascension_probability,quick_attack_minus_ascension,quick_attack_score_advantage,ascension_score_advantage,baseline_quick_attack_probability,baseline_ascension_probability,baseline_quick_attack_minus_ascension,baseline_predicted_action,quick_attack_probability_change,ascension_probability_change,score_margin_change,predicted_action_changed,ascension_overtook_quick_attack
4WE_PAIR_005_V02,4WE_PAIR_005_V02__PLAYER,Player,T52_S001__HP_PRESSURE,HP_PRESSURE,2,MINIMUM_MULTI_ACTION_ENERGY,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,2,2.0,3.0,-1.0,Ascension,0.08,0.658,-0.5780000000000001,False,True,0.798,0.14,0.658,Quick Attack,-0.7180000000000001,0.518,-1.2360000000000002,True,True
4WE_PAIR_006_V02,4WE_PAIR_006_V02__PLAYER,Player,T52_S001__HP_PRESSURE,HP_PRESSURE,4,MINIMUM_MULTI_ACTION_ENERGY,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,4,2.0,3.0,-1.0,Ascension,0.08,0.658,-0.5780000000000001,False,True,0.798,0.14,0.658,Quick Attack,-0.7180000000000001,0.518,-1.2360000000000002,True,True
4WE_PAIR_012_V02,4WE_PAIR_012_V02__PLAYER,Player,T52_S002__HP_PRESSURE,HP_PRESSURE,3,MINIMUM_MULTI_ACTION_ENERGY,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,3,2.0,3.0,-1.0,Ascension,0.08,0.658,-0.5780000000000001,False,True,0.798,0.14,0.658,Quick Attack,-0.7180000000000001,0.518,-1.2360000000000002,True,True
4WE_PAIR_015_V01,4WE_PAIR_015_V01__OPPONENT,Opponent,T52_S003__HP_PRESSURE,HP_PRESSURE,2,OBSERVED_ENERGY_CONTEXT,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,2,3.0,3.0,0.0,Ascension,0.088,0.644,-0.556,False,True,0.808,0.128,0.68,Quick Attack,-0.7200000000000001,0.516,-1.2360000000000002,True,True
4WE_PAIR_015_V04,4WE_PAIR_015_V04__OPPONENT,Opponent,T52_S003__HP_PRESSURE,HP_PRESSURE,2,EEVEE_ENERGY_ADVANTAGE,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,2,3.0,2.0,1.0,Ascension,0.088,0.644,-0.556,False,True,0.808,0.128,0.68,Quick Attack,-0.7200000000000001,0.516,-1.2360000000000002,True,True
4WE_PAIR_016_V01,4WE_PAIR_016_V01__OPPONENT,Opponent,T52_S003__HP_PRESSURE,HP_PRESSURE,4,OBSERVED_ENERGY_CONTEXT,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,4,3.0,3.0,0.0,Ascension,0.088,0.644,-0.556,False,True,0.808,0.128,0.68,Quick Attack,-0.7200000000000001,0.516,-1.2360000000000002,True,True
4WE_PAIR_016_V04,4WE_PAIR_016_V04__OPPONENT,Opponent,T52_S003__HP_PRESSURE,HP_PRESSURE,4,EEVEE_ENERGY_ADVANTAGE,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,4,3.0,2.0,1.0,Ascension,0.088,0.644,-0.556,False,True,0.808,0.128,0.68,Quick Attack,-0.7200000000000001,0.516,-1.2360000000000002,True,True
4WE_PAIR_021_V01,4WE_PAIR_021_V01__OPPONENT,Opponent,T52_S004__HP_PRESSURE,HP_PRESSURE,3,OBSERVED_ENERGY_CONTEXT,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,3,3.0,3.0,0.0,Ascension,0.088,0.644,-0.556,False,True,0.808,0.128,0.68,Quick Attack,-0.7200000000000001,0.516,-1.2360000000000002,True,True
4WE_PAIR_021_V04,4WE_PAIR_021_V04__OPPONENT,Opponent,T52_S004__HP_PRESSURE,HP_PRESSURE,3,EEVEE_ENERGY_ADVANTAGE,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,3,3.0,2.0,1.0,Ascension,0.088,0.644,-0.556,False,True,0.808,0.128,0.68,Quick Attack,-0.7200000000000001,0.516,-1.2360000000000002,True,True
4WE_PAIR_005_V01,4WE_PAIR_005_V01__OPPONENT,Opponent,T52_S001__HP_PRESSURE,HP_PRESSURE,2,OBSERVED_ENERGY_CONTEXT,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,2,3.0,3.0,0.0,Ascension,0.09,0.642,-0.552,False,True,0.81,0.126,0.684,Quick Attack,-0.7200000000000001,0.516,-1.2360000000000002,True,True
4WE_PAIR_005_V04,4WE_PAIR_005_V04__OPPONENT,Opponent,T52_S001__HP_PRESSURE,HP_PRESSURE,2,EEVEE_ENERGY_ADVANTAGE,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,2,3.0,2.0,1.0,Ascension,0.09,0.642,-0.552,False,True,0.81,0.126,0.684,Quick Attack,-0.7200000000000001,0.516,-1.2360000000000002,True,True
4WE_PAIR_006_V01,4WE_PAIR_006_V01__OPPONENT,Opponent,T52_S001__HP_PRESSURE,HP_PRESSURE,4,OBSERVED_ENERGY_CONTEXT,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,4,3.0,3.0,0.0,Ascension,0.09,0.642,-0.552,False,True,0.81,0.126,0.684,Quick Attack,-0.7200000000000001,0.516,-1.2360000000000002,True,True
4WE_PAIR_006_V04,4WE_PAIR_006_V04__OPPONENT,Opponent,T52_S001__HP_PRESSURE,HP_PRESSURE,4,EEVEE_ENERGY_ADVANTAGE,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,4,3.0,2.0,1.0,Ascension,0.09,0.642,-0.552,False,True,0.81,0.126,0.684,Quick Attack,-0.7200000000000001,0.516,-1.2360000000000002,True,True
4WE_PAIR_012_V01,4WE_PAIR_012_V01__OPPONENT,Opponent,T52_S002__HP_PRESSURE,HP_PRESSURE,3,OBSERVED_ENERGY_CONTEXT,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,3,3.0,3.0,0.0,Ascension,0.09,0.642,-0.552,False,True,0.81,0.126,0.684,Quick Attack,-0.7200000000000001,0.516,-1.2360000000000002,True,True
4WE_PAIR_012_V04,4WE_PAIR_012_V04__OPPONENT,Opponent,T52_S002__HP_PRESSURE,HP_PRESSURE,3,EEVEE_ENERGY_ADVANTAGE,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,3,3.0,2.0,1.0,Ascension,0.09,0.642,-0.552,False,True,0.81,0.126,0.684,Quick Attack,-0.7200000000000001,0.516,-1.2360000000000002,True,True
4WE_PAIR_022_V04,4WE_PAIR_022_V04__PLAYER,Player,T52_S007__BASELINE,BASELINE,1,EEVEE_ENERGY_ADVANTAGE,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,1,3.0,2.0,1.0,Ascension,0.086,0.608,-0.522,False,True,0.802,0.114,0.6880000000000001,Quick Attack,-0.7160000000000001,0.494,-1.21,True,True
4WE_PAIR_023_V04,4WE_PAIR_023_V04__PLAYER,Player,T52_S007__HP_PRESSURE,HP_PRESSURE,1,EEVEE_ENERGY_ADVANTAGE,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,1,3.0,2.0,1.0,Ascension,0.086,0.608,-0.522,False,True,0.802,0.114,0.6880000000000001,Quick Attack,-0.7160000000000001,0.494,-1.21,True,True
