source_scenario_id,match_id,agent_name,baseline_name,player_card,opponent_card,starting_side,evaluated_agent_side,normalized_side,winner,turns,stop_reason,fallback_count,elapsed_seconds,baseline_strength,side_priority,turn_complexity,hard_example_priority,hard_example_rank,replay_level,mining_status,records_mined,queue_position
NB48_LOSS_128,128,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0013121999800205,2.0,2.0,1.3333333333333333,5.333333333333333,37,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,37
NB48_LOSS_140,140,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.001295700087212,2.0,2.0,1.3333333333333333,5.333333333333333,38,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,38
NB48_LOSS_152,152,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0014550000196322,2.0,2.0,1.3333333333333333,5.333333333333333,39,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,39
NB48_LOSS_164,164,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0020979000255465,2.0,2.0,1.3333333333333333,5.333333333333333,40,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,40
NB48_LOSS_176,176,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0013481000205501,2.0,2.0,1.3333333333333333,5.333333333333333,41,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,41
NB48_LOSS_188,188,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0013021000195294,2.0,2.0,1.3333333333333333,5.333333333333333,42,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,42
NB48_LOSS_200,200,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0016574999317526,2.0,2.0,1.3333333333333333,5.333333333333333,43,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,43
NB48_LOSS_102,102,Competitive Policy,Greedy Damage Baseline,Charmander,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0007749000797048,2.0,2.0,1.0,4.0,44,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,44
NB48_LOSS_106,106,Competitive Policy,Greedy Damage Baseline,Meowth,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0008703999919816,2.0,2.0,1.0,4.0,45,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,45
NB48_LOSS_110,110,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.000813000020571,2.0,2.0,1.0,4.0,46,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,46
NB48_LOSS_114,114,Competitive Policy,Greedy Damage Baseline,Charmander,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0008261000039055,2.0,2.0,1.0,4.0,47,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,47
NB48_LOSS_118,118,Competitive Policy,Greedy Damage Baseline,Meowth,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0008738000178709,2.0,2.0,1.0,4.0,48,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,48
NB48_LOSS_122,122,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0007603999692946,2.0,2.0,1.0,4.0,49,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,49
NB48_LOSS_126,126,Competitive Policy,Greedy Damage Baseline,Charmander,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0008618000429123,2.0,2.0,1.0,4.0,50,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,50
NB48_LOSS_130,130,Competitive Policy,Greedy Damage Baseline,Meowth,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0008117000106722,2.0,2.0,1.0,4.0,51,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,51
NB48_LOSS_134,134,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.000791999977082,2.0,2.0,1.0,4.0,52,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,52
NB48_LOSS_138,138,Competitive Policy,Greedy Damage Baseline,Charmander,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0008926000446081,2.0,2.0,1.0,4.0,53,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,53
