strategy,feature_position,feature_name,importance,importance_rank,importance_percent,feature_type,base_feature
R1_REMOVE_LEGAL_SIGNATURE,0,numeric__turn_number,0.01769727609030641,21,1.7697276090306409,numeric,turn_number
R1_REMOVE_LEGAL_SIGNATURE,3,numeric__player_damage,0.017646091621184468,22,1.7646091621184468,numeric,player_damage
R1_REMOVE_LEGAL_SIGNATURE,15,numeric__absolute_damage_difference,0.016479970927738577,23,1.6479970927738576,numeric,absolute_damage_difference
R1_REMOVE_LEGAL_SIGNATURE,29,numeric__active_card_can_use__quick_attack,0.016326408488913906,24,1.6326408488913906,numeric,active_card_can_use__quick_attack
R1_REMOVE_LEGAL_SIGNATURE,43,categorical__active_card_Eevee,0.015594930543991631,25,1.5594930543991632,categorical,active_card_Eevee
R1_REMOVE_LEGAL_SIGNATURE,53,categorical__energy_band_READY,0.015239687036149707,26,1.5239687036149707,categorical,energy_band_READY
R1_REMOVE_LEGAL_SIGNATURE,34,categorical__side_mode_PRESERVE,0.015180585252947777,27,1.5180585252947778,categorical,side_mode_PRESERVE
R1_REMOVE_LEGAL_SIGNATURE,33,categorical__side_mode_FLIP,0.012655224873104795,28,1.2655224873104796,categorical,side_mode_FLIP
R1_REMOVE_LEGAL_SIGNATURE,6,numeric__hand_size,0.012614558344730247,29,1.2614558344730247,numeric,hand_size
R1_REMOVE_LEGAL_SIGNATURE,9,numeric__defending_energy,0.011750601597740704,30,1.1750601597740704,numeric,defending_energy
R1_REMOVE_LEGAL_SIGNATURE,52,categorical__energy_band_LOW,0.011524882600921669,31,1.1524882600921669,categorical,energy_band_LOW
R1_REMOVE_LEGAL_SIGNATURE,2,numeric__opponent_energy,0.011502573916167344,32,1.1502573916167345,numeric,opponent_energy
R1_REMOVE_LEGAL_SIGNATURE,30,numeric__active_card_can_use__tuck_tail,0.010683423839638058,33,1.0683423839638058,numeric,active_card_can_use__tuck_tail
R1_REMOVE_LEGAL_SIGNATURE,25,numeric__active_card_can_use__ascension,0.010669451720269577,34,1.0669451720269576,numeric,active_card_can_use__ascension
R1_REMOVE_LEGAL_SIGNATURE,13,numeric__defending_damage,0.010548337467120108,35,1.0548337467120108,numeric,defending_damage
R1_REMOVE_LEGAL_SIGNATURE,1,numeric__player_energy,0.010243946878303777,36,1.0243946878303778,numeric,player_energy
R1_REMOVE_LEGAL_SIGNATURE,35,categorical__player_card_Bulbasaur,0.008741451794383332,37,0.8741451794383333,categorical,player_card_Bulbasaur
R1_REMOVE_LEGAL_SIGNATURE,44,categorical__active_card_Meowth,0.008467705716619216,38,0.8467705716619216,categorical,active_card_Meowth
R1_REMOVE_LEGAL_SIGNATURE,5,numeric__prize_cards_remaining,0.008401505803080139,39,0.8401505803080139,numeric,prize_cards_remaining
R1_REMOVE_LEGAL_SIGNATURE,54,categorical__energy_band_ZERO,0.007619873889572012,40,0.7619873889572012,categorical,energy_band_ZERO
R1_REMOVE_LEGAL_SIGNATURE,38,categorical__player_card_Meowth,0.006230145132352078,41,0.6230145132352078,categorical,player_card_Meowth
R1_REMOVE_LEGAL_SIGNATURE,4,numeric__opponent_damage,0.004173185161997974,42,0.41731851619979743,numeric,opponent_damage
R1_REMOVE_LEGAL_SIGNATURE,36,categorical__player_card_Charmander,0.0028103071175487123,43,0.2810307117548712,categorical,player_card_Charmander
R1_REMOVE_LEGAL_SIGNATURE,32,categorical__current_side_Player,0.0023837665697433656,44,0.23837665697433655,categorical,current_side_Player
R1_REMOVE_LEGAL_SIGNATURE,50,categorical__battle_phase_LATE,0.00222063800893887,45,0.222063800893887,categorical,battle_phase_LATE
R1_REMOVE_LEGAL_SIGNATURE,31,categorical__current_side_Opponent,0.0016681710216639649,46,0.16681710216639647,categorical,current_side_Opponent
R1_REMOVE_LEGAL_SIGNATURE,56,categorical__damage_band_LOW_DAMAGE,0.0016535559472418632,47,0.16535559472418632,categorical,damage_band_LOW_DAMAGE
R1_REMOVE_LEGAL_SIGNATURE,49,categorical__battle_phase_EARLY,0.001625301939809459,48,0.1625301939809459,categorical,battle_phase_EARLY
R1_REMOVE_LEGAL_SIGNATURE,37,categorical__player_card_Eevee,0.0013475250820409901,49,0.134752508204099,categorical,player_card_Eevee
R1_REMOVE_LEGAL_SIGNATURE,40,categorical__opponent_card_Eevee,0.0013026596488760357,50,0.13026596488760356,categorical,opponent_card_Eevee
R1_REMOVE_LEGAL_SIGNATURE,39,categorical__opponent_card_Charmander,0.0011684919776087438,51,0.11684919776087438,categorical,opponent_card_Charmander
R1_REMOVE_LEGAL_SIGNATURE,11,numeric__absolute_energy_difference,0.000855054847521799,52,0.0855054847521799,numeric,absolute_energy_difference
R1_REMOVE_LEGAL_SIGNATURE,57,categorical__damage_band_MEDIUM_DAMAGE,0.0007697099446953278,53,0.07697099446953277,categorical,damage_band_MEDIUM_DAMAGE
R1_REMOVE_LEGAL_SIGNATURE,10,numeric__energy_difference,0.0006152663903096615,54,0.06152663903096615,numeric,energy_difference
R1_REMOVE_LEGAL_SIGNATURE,51,categorical__battle_phase_MID,0.0004855689334757369,55,0.04855689334757369,categorical,battle_phase_MID
R1_REMOVE_LEGAL_SIGNATURE,45,categorical__inactive_card_Bulbasaur,0.00021974248927044332,56,0.021974248927044332,categorical,inactive_card_Bulbasaur
R1_REMOVE_LEGAL_SIGNATURE,48,categorical__inactive_card_Meowth,0.00011528213634393622,57,0.011528213634393622,categorical,inactive_card_Meowth
R1_REMOVE_LEGAL_SIGNATURE,46,categorical__inactive_card_Charmander,0.00011268699603089886,58,0.011268699603089885,categorical,inactive_card_Charmander
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,22,numeric__is_legal__pass,0.0621080808950603,1,6.21080808950603,numeric,is_legal__pass
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,21,numeric__is_legal__live_coal,0.06129861937222257,2,6.129861937222257,numeric,is_legal__live_coal
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,19,numeric__is_legal__ascension,0.05997612976106976,3,5.997612976106976,numeric,is_legal__ascension
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,36,categorical__active_card_Charmander,0.059044212977075204,4,5.90442129770752,categorical,active_card_Charmander
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,35,categorical__active_card_Bulbasaur,0.05785044493717566,5,5.785044493717566,categorical,active_card_Bulbasaur
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,20,numeric__is_legal__bind_down,0.056437634003958896,6,5.64376340039589,numeric,is_legal__bind_down
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,12,numeric__acting_damage,0.040816803636862874,7,4.081680363686288,numeric,acting_damage
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,17,numeric__multi_legal_move_flag,0.038134953659021344,8,3.8134953659021344,numeric,multi_legal_move_flag
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,49,categorical__damage_band_HIGH_DAMAGE,0.03533836654506567,9,3.533836654506567,categorical,damage_band_HIGH_DAMAGE
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,14,numeric__damage_difference,0.0345266151537555,10,3.4526615153755498,numeric,damage_difference
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,7,numeric__recomputed_legal_move_count,0.03433222378084902,11,3.433222378084902,numeric,recomputed_legal_move_count
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,24,numeric__is_legal__tuck_tail,0.03122809817461664,12,3.122809817461664,numeric,is_legal__tuck_tail
