comparison_case_id,scenario_family,pair_number,case_variant,evaluation_side,strategy_comparisons,mean_maximum_probability_difference,maximum_probability_difference,mean_l1_probability_difference,maximum_l1_probability_difference,unique_case_rank
4WE_PAIR_017_V01__OPPONENT,4WE,17,V01,OPPONENT,6,0.05633333333333334,0.10999999999999999,0.12133333333333333,0.23600000000000002,88
4WE_PAIR_017_V01__PLAYER,4WE,17,V01,PLAYER,6,0.05633333333333334,0.10999999999999999,0.12133333333333333,0.23600000000000002,89
4WE_PAIR_017_V04__OPPONENT,4WE,17,V04,OPPONENT,6,0.05633333333333334,0.10999999999999999,0.12066666666666666,0.232,90
4WE_PAIR_015_V02__PLAYER,4WE,15,V02,PLAYER,6,0.06133333333333335,0.108,0.12266666666666672,0.21600000000000008,91
4WE_PAIR_021_V02__PLAYER,4WE,21,V02,PLAYER,6,0.06133333333333335,0.108,0.12266666666666672,0.21600000000000008,92
4WE_PAIR_006_V02__PLAYER,4WE,6,V02,PLAYER,6,0.06033333333333335,0.108,0.12066666666666671,0.21600000000000008,93
4WE_PAIR_023_V03__OPPONENT,4WE,23,V03,OPPONENT,6,0.06266666666666668,0.10799999999999998,0.12533333333333332,0.21599999999999997,94
4WE_PAIR_023_V03__PLAYER,4WE,23,V03,PLAYER,6,0.062333333333333345,0.10799999999999998,0.12466666666666666,0.21599999999999997,95
4WE_PAIR_001_V04__PLAYER,4WE,1,V04,PLAYER,6,0.05833333333333335,0.10799999999999998,0.12333333333333334,0.23199999999999998,96
4WE_PAIR_008_V04__PLAYER,4WE,8,V04,PLAYER,6,0.05833333333333335,0.10799999999999998,0.12333333333333334,0.23199999999999998,97
4WE_PAIR_014_V04__PLAYER,4WE,14,V04,PLAYER,6,0.05833333333333335,0.10799999999999998,0.12333333333333334,0.23199999999999998,98
4WE_PAIR_019_V04__PLAYER,4WE,19,V04,PLAYER,6,0.05833333333333335,0.10799999999999998,0.12333333333333334,0.23199999999999998,99
4WE_PAIR_005_V02__PLAYER,4WE,5,V02,PLAYER,6,0.05933333333333335,0.106,0.11866666666666671,0.21200000000000008,100
4WE_PAIR_012_V02__PLAYER,4WE,12,V02,PLAYER,6,0.05933333333333335,0.106,0.11866666666666671,0.21200000000000008,101
4WE_PAIR_011_V02__OPPONENT,4WE,11,V02,OPPONENT,6,0.06199999999999999,0.10599999999999998,0.124,0.21199999999999997,102
4WE_PAIR_022_V02__OPPONENT,4WE,22,V02,OPPONENT,6,0.061333333333333344,0.10599999999999998,0.12266666666666666,0.212,103
4WE_PAIR_013_V04__PLAYER,4WE,13,V04,PLAYER,6,0.057000000000000016,0.10599999999999998,0.12066666666666666,0.22799999999999998,104
4WE_PAIR_018_V04__PLAYER,4WE,18,V04,PLAYER,6,0.057000000000000016,0.10599999999999998,0.12066666666666666,0.22799999999999998,105
4WE_PAIR_004_V04__PLAYER,4WE,4,V04,PLAYER,6,0.05800000000000002,0.10399999999999998,0.12266666666666666,0.22399999999999998,106
4WE_PAIR_003_V04__PLAYER,4WE,3,V04,PLAYER,6,0.05733333333333335,0.10399999999999998,0.12133333333333333,0.22399999999999998,107
4WE_PAIR_010_V04__PLAYER,4WE,10,V04,PLAYER,6,0.05733333333333335,0.10399999999999998,0.12133333333333333,0.22399999999999998,108
4WE_PAIR_002_V01__PLAYER,4WE,2,V01,PLAYER,6,0.056000000000000015,0.10399999999999998,0.11866666666666666,0.22399999999999998,109
4WE_PAIR_009_V01__PLAYER,4WE,9,V01,PLAYER,6,0.056000000000000015,0.10399999999999998,0.11866666666666666,0.22399999999999998,110
